right_hand_up,right_hand_above_head,right_arm_stretched,right_cross_body,right_elbow_up,lean_left,lean_right,shoulder_slope,hip_slope,right_wrist_outside,right_hand_below_hip,Pose
0,0,1,1,0,1,1,173.52819090699685,-176.33592065480224,0,0,Stance
0,0,1,1,0,1,1,174.12850370481473,-176.41770661122598,0,0,Stance
0,0,1,1,0,1,1,175.7069068775706,-179.18087931988853,0,0,Stance
0,0,1,1,0,1,1,177.31500807593852,-175.9590263015745,0,0,Stance
0,0,1,1,0,1,1,173.72499850970888,-175.18616666374336,0,0,Stance
0,0,1,1,0,1,1,178.493845848925,-173.61131540255727,0,0,Stance
0,0,1,1,0,1,1,173.8234023110649,-175.86914130718526,0,0,Stance
0,0,1,1,0,1,1,176.09197849776825,-176.72730565725513,0,0,Stance
0,0,1,1,0,1,1,172.25423775777702,-178.1786881705911,0,0,Stance
0,0,1,1,0,1,1,173.8726042117429,-172.38749192260377,0,0,Stance
0,0,1,1,0,1,1,173.8972051620819,-175.39821128253985,0,0,Stance
0,0,1,1,0,1,1,173.9095056372514,-178.5621309121006,0,0,Stance
0,0,1,1,0,1,1,176.6109133152151,-176.10597769284638,0,0,Stance
0,0,1,1,0,1,1,173.03236379340927,-177.7091232109087,0,0,Stance
0,0,1,1,0,1,1,173.11045538921258,-173.15424962462944,0,0,Stance
0,0,1,1,0,1,1,179.41297446518325,-175.87330511535882,0,0,Stance
0,0,1,1,0,1,1,167.317795646268,-179.33105087762695,0,1,Stance
0,0,1,1,0,1,1,174.0396644629315,-176.4994925676497,0,0,Stance
0,0,1,1,0,1,1,175.7708406402797,-178.55351908872336,0,0,Stance
0,0,1,1,0,1,1,176.3421010599712,-177.7206031998449,0,0,Stance
0,0,1,1,0,1,1,177.18225922986232,-178.03410519132828,0,0,Stance
0,0,1,1,0,1,1,175.97936047364527,-176.17234874195475,0,0,Stance
0,0,1,1,0,1,1,178.4940927729393,-176.90551932215624,0,1,Stance
0,0,1,1,0,1,1,173.91565587483615,-176.06334412215523,0,0,Stance
0,0,1,1,0,1,1,176.07624471202948,-178.60117611588709,0,0,Stance
0,0,1,1,0,1,1,175.23149828454143,-179.62032197203212,0,0,Stance
0,0,1,1,0,1,1,178.67425670261105,-179.6101221994801,0,0,Stance
0,0,1,1,0,1,1,171.4760466849283,-178.28931116939938,0,1,Stance
0,0,1,1,0,1,1,173.1345757015728,-176.45859958943782,0,0,Stance
0,0,1,1,0,1,1,173.9218061124209,-176.47904607854377,0,1,Stance
0,0,1,1,0,1,1,170.9826362521168,-176.48926932309672,0,1,Stance
0,0,1,1,0,1,1,164.85744808458887,-176.49438094537322,0,1,Stance
0,0,1,1,0,1,1,160.13964329415842,-176.49693675651145,0,1,Stance
0,0,1,1,0,1,1,162.85463342043963,-178.35044137482072,0,1,Stance
0,0,1,1,0,1,1,166.13162081982546,-176.94750350446267,0,1,Stance
0,0,1,1,0,1,1,174.93305961841156,-176.5814332301322,0,1,Stance
0,0,1,1,0,1,1,174.56375298970715,-179.57512741658218,0,1,Stance
0,0,1,1,0,1,1,158.05932588505948,-176.49821466208056,0,1,Stance
0,0,1,0,0,0,1,-22.287824106271252,-4.159306503827431,1,0,Backhand
0,0,1,0,0,0,1,-3.7014952924124676,30.3161588228264,1,0,Backhand
0,0,1,0,0,0,1,-9.999349555201395,-0.9175729315162723,1,0,Backhand
0,0,0,0,0,0,0,-21.61169129889897,-9.740128370259418,1,0,Backhand
0,0,1,0,0,0,0,-43.51191940346926,-7.419757845845799,1,0,Backhand
0,0,1,0,0,0,0,-10.969556970870228,0.807441590520352,1,0,Backhand
0,0,1,0,0,0,0,-17.5573159071413,-3.015712199667834,1,0,Backhand
0,0,1,0,0,0,0,-22.287824106271252,-15.671430263565926,1,0,Backhand
0,0,1,0,0,0,0,-20.80987143267601,-15.790128633569967,1,0,Backhand
0,0,0,0,0,0,0,-19.176027380266063,-17.184135938536258,1,0,Backhand
0,0,0,0,0,0,0,-16.323512523230978,-6.218036097731069,1,0,Backhand
0,0,0,0,0,0,0,-17.283457674825073,-8.73700799503977,1,0,Backhand
0,0,0,0,0,0,0,-19.889640327904196,-10.831579948927695,1,0,Backhand
0,0,0,0,0,0,0,-28.411627453630608,-9.074905033708024,1,0,Backhand
1,0,1,0,1,0,0,-38.868306990526506,-9.055086904115205,1,0,Backhand
1,0,1,0,1,0,0,-37.34277144946686,-4.159306503827431,1,0,Backhand
1,0,1,0,1,0,0,-26.816233774146923,-9.082527548263927,1,0,Backhand
0,0,1,0,0,0,0,-18.375739127717928,-7.1231990774525675,1,0,Backhand
0,0,1,0,0,0,0,-25.15240720948856,-4.742778558437226,1,0,Backhand
0,0,1,0,0,0,1,-19.78168281344303,86.67563235536608,1,0,Backhand
0,0,1,0,0,0,1,-36.41257636095293,88.18256180645183,1,0,Backhand
0,0,1,0,0,0,1,-40.942900051544626,93.78416874599007,1,0,Backhand
0,0,1,0,0,0,1,-19.822430089593745,41.12980280636474,1,0,Backhand
0,0,1,0,0,0,1,-16.71469314752222,37.628782831166674,1,0,Backhand
0,0,1,0,0,0,1,-13.48904824664727,42.93357504149474,1,0,Backhand
0,0,1,0,0,0,1,-12.98731296965282,38.95453461606697,1,0,Backhand
